name,index,category,contents,status,time,on/off,URL,attachment,Google Drive,gen-time,edit-time,block-ID,post-block,[index] post-block,[index] pre-block,pre-block,Hash tag
연희 요가 축제_유동환 인터뷰,2026 연희 요가 week,정보,스크랩,cowork,2026년 3월 4일,No,,%EC%97%B0%ED%9D%AC_%EC%9A%94%EA%B0%80_%EC%B6%95%EC%A0%9C_%EC%9C%A0%EB%8F%99%ED%99%98_%EC%9D%B8%ED%84%B0%EB%B7%B0.pdf,,2026년 3월 11일 오전 9:59,2026년 3월 11일 오전 10:08,54,,,,,ADMINISTRATIVE WORK
2월_연희요가위크_요가명상원,2026 연희 요가 week,정보,스크랩,cowork,2026년 2월 12일,No,,2%EC%9B%94_%EC%97%B0%ED%9D%AC%EC%9A%94%EA%B0%80%EC%9C%84%ED%81%AC_%EC%9A%94%EA%B0%80%EB%AA%85%EC%83%81%EC%9B%90.pdf,,2026년 3월 10일 오전 11:40,2026년 3월 10일 오전 11:50,52,,,,,ADMINISTRATIVE WORK
2023-25 현금흐름 기록,2023-25 현금흐름 기록,메모,텍스트,cowork,,No,,,,2026년 3월 9일 오후 1:40,2026년 3월 9일 오후 1:47,50,,,,,FINANCE
@2026년 2월 19일 회의,회의록,메모,텍스트,cowork,2026년 2월 19일 오후 1:00 (GMT+9) → 오후 2:50,No,,,,2026년 2월 27일 오후 9:16,2026년 3월 9일 오후 1:45,17,,,,,"ADMINISTRATIVE WORK, BRANDING, FINANCE"
2026학년도 UOS 창업동아리 참가 신청서 양식,2026학년도 서울시립대학교 창업동아리,메모,텍스트,cowork,2026년 3월 9일,No,,,,2026년 3월 9일 오전 9:00,2026년 3월 9일 오전 9:23,48,,,2026학년도 서울시립대학교 창업동아리,2026학년도 UOS 창업동아리 참가 신청서 (https://www.notion.so/31d5f5025041800fb2c2ee52170d84aa?pvs=21),ADMINISTRATIVE WORK
2026학년도 UOS 창업동아리 운영 계획(안),2026학년도 서울시립대학교 창업동아리,정보,스크랩,cowork,2026년 3월 4일,No,https://www.uos.ac.kr/korColumn/view.do?list_id=FA35&seq=906&sort=2&pageIndex=1&searchCnd=&searchWrd=&viewAuth=Y&lpageCount=10&menuid=2000005009005000000,2026%ED%95%99%EB%85%84%EB%8F%84_UOS_%EC%B0%BD%EC%97%85%EB%8F%99%EC%95%84%EB%A6%AC_%EC%9A%B4%EC%98%81_%EA%B3%84%ED%9A%8D(%EC%95%88).pdf,,2026년 3월 9일 오전 8:56,2026년 3월 9일 오전 9:00,46,,,2026학년도 서울시립대학교 창업동아리,2026 UOS 창업동아리 모집 (https://www.notion.so/31d5f502504180a4bc75fd5110d02032?pvs=21),ADMINISTRATIVE WORK
2026 UOS 창업동아리 모집,2026학년도 서울시립대학교 창업동아리,정보,스크랩,cowork,2026년 3월 4일,No,https://www.uos.ac.kr/korColumn/view.do?list_id=FA35&seq=906&sort=2&pageIndex=1&searchCnd=&searchWrd=&viewAuth=Y&lpageCount=10&menuid=2000005009005000000,Screenshot_2026-03-09_at_08.54.05.pdf,,2026년 3월 9일 오전 8:53,2026년 3월 9일 오전 9:00,45,"2026학년도 UOS 창업동아리 운영 계획(안) (https://www.notion.so/31d5f502504180ddb136ee71b90d887b?pvs=21), 2026학년도 UOS 창업동아리 참가 신청서 (https://www.notion.so/31d5f5025041800fb2c2ee52170d84aa?pvs=21)","2026학년도 서울시립대학교 창업동아리,2026학년도 서울시립대학교 창업동아리",,,ADMINISTRATIVE WORK
2026학년도 UOS 창업동아리 참가 신청서,2026학년도 서울시립대학교 창업동아리,정보,문서,cowork,2026년 3월 4일,No,https://www.uos.ac.kr/korColumn/view.do?list_id=FA35&seq=906&sort=2&pageIndex=1&searchCnd=&searchWrd=&viewAuth=Y&lpageCount=10&menuid=2000005009005000000,2026%ED%95%99%EB%85%84%EB%8F%84_UOS_%EC%B0%BD%EC%97%85%EB%8F%99%EC%95%84%EB%A6%AC_%EC%9A%B4%EC%98%81_%EA%B3%84%ED%9A%8D(%EC%95%88).pdf,,2026년 3월 9일 오전 8:59,2026년 3월 9일 오전 9:00,47,"2026학년도 UOS 창업동아리 참가 신청서 양식 (https://www.notion.so/31e5f50250418045be23f2e144f31283?pvs=21), 2026학년도 UOS 창업동아리 참가 신청서 (빅블루) (https://www.notion.so/3295f502504180a2af6bcb0d5415ce0b?pvs=21)","2026학년도 서울시립대학교 창업동아리,2026학년도 서울시립대학교 창업동아리",2026학년도 서울시립대학교 창업동아리,2026 UOS 창업동아리 모집 (https://www.notion.so/31d5f502504180a4bc75fd5110d02032?pvs=21),ADMINISTRATIVE WORK
2025학년도 서울시립대학교 창업장학금,2025학년도 서울시립대학교 창업장학금,메모,텍스트,cowork,2026년 1월 24일 → 2026년 1월 28일,No,,,,2026년 2월 27일 오후 9:16,2026년 3월 9일 오전 8:50,19,,,,,"ADMINISTRATIVE WORK, FINANCE"
2025학년도 서울시립대학교 창업활동,2025학년도 서울시립대학교 창업활동,메모,텍스트,cowork,2026년 1월 24일 → 2026년 1월 30일,No,,,,2026년 2월 27일 오후 9:16,2026년 3월 9일 오전 8:15,36,,,,,"ADMINISTRATIVE WORK, FINANCE"
